,metascore,name,console,userscore,date,genre(s),developer,publisher,rating,esrb descriptors,number of online players,special controllers,number of players,official site,franchise
1376,85,Final Fantasy IV,DS,8.8,"Jul 21, 2008","Console-style RPG, Japanese-Style, Role-Playing",Matrix Software,Square Enix,E10+,Alcohol Reference Fantasy Violence Mild Language Suggestive Themes,No Online Multiplayer, , ,http://na.square-enix.com/ff4/,Final Fantasy Series
1377,85,Castlevania: Order of Ecclesia,DS,8.5,"Oct 21, 2008","2D, Action, Action RPG, Platformer, Role-Playing",Konami,Konami,T,Blood Fantasy Violence,No Online Multiplayer, ,1-4 Players,http://www.konami-data.com/castlevania/,Castlevania Series
1378,85,Prince of Persia,PS3,7.4,"Dec 2, 2008","Action Adventure, Fantasy, General",Ubisoft Montreal,Ubisoft,T,Alcohol Reference Mild Language Mild Suggestive Themes Violence, , ,1 Player,http://prince-of-persia.us.ubi.com/intro/,Prince of Persia Series
1379,85,Bionic Commando Rearmed,X360,8.3,"Aug 13, 2008","2D, Action, Platformer",GRIN,Capcom,M,Blood and Gore Language Violence, , ,1-4 Players,http://www.xbox.com/en-US/games/b/bcrearmedxboxlivearcade/,Bionic Commando Series
1380,85,Sid Meier's Civilization Revolution,PS3,7.6,"Jul 8, 2008","General, Historic, Strategy, Turn-Based",Firaxis Games,2K Games,E10+,Alcohol and Tobacco Reference Mild Suggestive Themes Violence,4 Players Online Up to 4 Players, ,1 Player,http://www.civilizationrevolution.com/,Civilization Series
1381,85,Space Invaders Extreme,DS,7.8,"Jun 17, 2008","Action u""Shoot-Em-Up"", Shooter, Static, Vertical",Taito Corporation,Square Enix,E, ,2 Players Online, ,1 Player,http://www.taito.co.jp/english/csm/sie/,Space Invaders Series
1382,85,Far Cry 2,X360,6.7,"Oct 21, 2008","Action, Arcade, First-Person, Modern, Shooter",Ubisoft Montreal,Ubisoft,M,Blood Drug Reference Intense Violence Sexual Themes Strong Language,16 Players Online, ,1 Player,http://farcrygame.ubi.com,Far Cry Series
1383,84,Battlefield: Bad Company,PS3,8.1,"Jun 23, 2008","Action, Arcade, First-Person, Modern, Shooter",EA DICE,EA Games,T,Alcohol Reference Strong Language Violence,24 Players Online Up to 24 Players,Headset,1 Player,http://battlefield.ea.com/battlefield/bf/,Battlefield Series
1384,84,Call of Duty: World at War,X360,7.6,"Nov 10, 2008","Action, Arcade, First-Person, Historic, Shooter",Treyarch,Activision,M,Blood and Gore Intense Violence Strong Language,16 Players Online Up to 18 Players, ,1-4 Players,http://www.callofduty.com/CoDWW,Call of Duty Series
1385,84,Guitar Hero World Tour,PS3,7.5,"Oct 26, 2008","Action, Miscellaneous, Music, Rhythm",Neversoft Entertainment,Activision,T,Lyrics Mild Suggestive Themes,4 Players Online, ,1-4 Players,http://www.guitarhero.com/,Guitar Hero Series
1386,84,Devil May Cry 4,X360,8.1,"Feb 5, 2008","Action, Action Adventure, Fantasy, General, Linear, Shooter
, Third-Person",Capcom,Capcom,M,Blood Language Sexual Themes Violence,No Online Multiplayer, ,1 Player,http://devilmaycry.com/home.html,Devil May Cry Series
1387,84,Sid Meier's Civilization Revolution,X360,7.8,"Jul 8, 2008","General, Historic, Strategy, Turn-Based",Firaxis Games,2K Games,E10+,Alcohol and Tobacco Reference Mild Suggestive Themes Violence,4 Players Online Up to 4 Players,Camera,1-4 Players,http://www.civilizationrevolution.com/,Civilization Series
1388,84,Spore,PC,5.3,"Sep 7, 2008","Breeding/Constructing, General, Strategy",Maxis,EA Games,E10+,Animated Blood Comic Mischief Fantasy Violence,No Online Multiplayer, ,1 Player,http://www.spore.com/,Spore Series
1389,84,NBA 2K9,X360,7.2,"Oct 7, 2008","Basketball, Sim, Sports, Team, Traditional",Visual Concepts,2K Sports,E, ,10 Players Online, ,1-4 Players,http://www.2ksports.com/nba2k9/,NBA 2K Basketball Series
1390,84,Crysis Warhead,PC,7.9,"Sep 16, 2008","Action, Arcade, First-Person, Sci-Fi, Shooter",Crytek,Electronic Arts,M, ,16 Players Online, ,1 Player,http://crysiswarhead.ea.com/agegate.aspx,Crysis Series
1391,84,Devil May Cry 4,PS3,8.2,"Feb 5, 2008","Action, Action Adventure u""Beat-Em-Up"", Fantasy, General
, Linear",Capcom,Capcom,M,Blood Language Sexual Themes Violence,No Online Multiplayer, ,1 Player,http://devilmaycry.com/home.html,Devil May Cry Series
1392,84,FIFA Soccer 09,PSP,8.5,"Oct 13, 2008","Sim, Soccer, Sports, Team, Traditional",EA Canada,EA Sports,E, ,2 Players Online, ,1-2 Players,http://www.fifa09.ea.com/,FIFA Soccer Series
1393,84,MLB 08: The Show,PS2,7.3,"Mar 4, 2008","Baseball, Sim, Sports, Traditional",SCEA San Diego Studios,SCEA,E, ,2 Players Online, ,1-2 Players,http://www.us.playstation.com/mlb08/,MLB: The Show Series
1394,84,Tiger Woods PGA Tour 09,X360,7.7,"Aug 26, 2008","Golf, Individual, Sim, Sports, Traditional",EA Tiburon,Electronic Arts,E, ,4 Players Online, ,1-2 Players,http://www.easports.com/tigerwoods09/,Tiger Woods Golf Series
1395,84,Space Invaders Extreme,PSP,6.8,"Jun 17, 2008","Action u""Shoot-Em-Up"", Shooter, Static, Vertical",Taito Corporation,Square Enix,E, ,2 Players Online, ,1 Player,http://www.taito.co.jp/english/csm/sie/,Space Invaders Series
1396,83,N+,X360,8.3,"Feb 20, 2008","2D, Action, Platformer",Slick Entertainment,Microsoft Game Studios,E10+,Animated Blood Mild Violence,4 Players Online, ,1-4 Players,http://www.xbox.com/en-US/games/n/nplusxboxlivearcade/,
1397,83,No More Heroes,WII,8.4,"Jan 22, 2008","3D, Action u""Beat-Em-Up""",Grasshopper Manufacture,Ubisoft,M,Blood and Gore Crude Humor Intense Violence Sexual Themes Strong Language,No Online Multiplayer,Nunchuk,1 Player,http://www.risingstargames.com/nomoreheroes/,No More Heroes Series
1398,83,Pure,PS3,7.5,"Sep 23, 2008","Arcade, Automobile, Driving, Racing",Black Rock Studio,Disney Interactive Studios,E,Mild Violence,16 Players Online Up to 16 Players,Headset,1 Player,http://www.purevideogame.com,
1399,83,PixelJunk Monsters,PS3,7.7,"Jan 24, 2008","Defense, Fantasy, Real-Time, Strategy",Q-Games,SCEA,E,Mild Fantasy Violence,2 Players Online, ,1-2 Players,http://www.us.playstation.com/PS3/Games/PixelJunk_Monsters,
1400,98,Tony Hawk's Pro Skater 2,PS,7.4,"Sep 20, 2000","Alternative, Skateboarding, Sports",Neversoft Entertainment,Activision,T,Mild Animated Violence Mild Language, , ,1-2 Players, ,Tony Hawk Skateboarding Series
1401,97,Tony Hawk's Pro Skater 2,DC,6.2,"Nov 6, 2000","Alternative, Skateboarding, Sports",Treyarch,Activision,T,Mild Animated Violence Mild Language, , , , ,Tony Hawk Skateboarding Series
1402,97,Perfect Dark,N64,8.9,"May 22, 2000","Action, First-Person, Sci-Fi, Shooter",Rare Ltd.,Nintendo,M,Animated Blood Animated Violence, , , , ,Perfect Dark Series
1403,97,NFL 2K1,DC,6.4,"Sep 7, 2000","Football, Sim, Sports, Traditional",Visual Concepts,Sega,E, , , , , ,NFL 2K Football Series
1404,95,Baldur's Gate II: Shadows of Amn,PC,9.2,"Sep 24, 2000","PC-style RPG, Role-Playing, Western-Style",BioWare,Interplay,T,Animated Blood Animated Violence Use of Alcohol and Tobacco Violence,Up to 6 Players, ,1-6 Players, ,Baldur\'s Gate Series
1405,95,The Legend of Zelda: Majora's Mask,N64,9.1,"Oct 25, 2000","Action Adventure, Fantasy",Nintendo,Nintendo,E,Animated Violence, , ,1 Player, ,Legend of Zelda Series
1406,94,Final Fantasy IX,PS,9.2,"Nov 13, 2000","Console-style RPG, Role-Playing",SquareSoft,Square EA,T,Animated Violence Mild Language, , ,1 Player,http://na.square-enix.com/games/FFIX-gamesite/,Final Fantasy Series
1407,94,Chrono Cross,PS,8.8,"Aug 15, 2000","Console-style RPG, Role-Playing",SquareSoft,Square EA,T,Animated Violence Mild Language, , ,1 Player,http://na.square-enix.com/games/CC/,Chrono Trigger Series
1408,94,Jet Grind Radio,DC,8,"Oct 30, 2000","3D, Action, Platformer",Smilebit,Sega,T,Animated Violence Mild Language, , , , ,Jet Grind Radio Series
1409,93,SSX,PS2,8.4,"Oct 30, 2000","Alternative, Snowboarding, Sports",EA Sports Big,EA Sports Big,E, , , ,1-2 Players, ,SSX Series
1410,93,Quake III Arena,DC,8.1,"Oct 22, 2000","Action, First-Person, Sci-Fi, Shooter",Raster,Sega,M,Animated Blood and Gore Animated Violence, , , , ,Quake Series
1411,93,Skies of Arcadia,DC,8.9,"Nov 13, 2000","Console-style RPG, Role-Playing",Overworks,Sega,T,Mild Animated Violence Suggestive Themes, , , , ,Skies of Arcadia Series
1412,93,Test Drive Le Mans,DC,7.7,"Nov 13, 2000","Driving, GT / Street, Racing",Melbourne House,Infogrames,E, , , , , ,Test Drive Series
1413,93,NBA 2K1,DC,7,"Nov 1, 2000","Basketball, Sim, Sports, Traditional",Visual Concepts,Sega,E, , , , , ,NBA 2K Basketball Series
1414,92,The Sims,PC,7.9,"Jan 31, 2000","Miscellaneous, Simulation, Virtual, Virtual Life",Maxis,Maxis,T,Comic Mischief Mature Sexual Themes Mild Animated Violence, , ,1 Player,http://thesims.ea.com/,Sims Series
1415,92,Vagrant Story,PS,9,"May 15, 2000","Action RPG, Role-Playing",SquareSoft,Square EA,T,Animated Violence, , ,1 Player, ,
1416,91,Madden NFL 2001,PS2,7.8,"Oct 23, 2000","Football, Sim, Sports, Traditional",EA Sports,EA Sports,E, , , ,1-8 Players, ,Madden Football Series
1417,91,Mario Tennis,N64,8.9,"Aug 28, 2000","Sports, Tennis, Traditional",Camelot Software Planning,Nintendo,E, , , , , ,Mario Series
1418,91,Spyro: Year of the Dragon,PS,8.9,"Oct 23, 2000","3D, Action, Platformer",Insomniac Games,SCEA,E,Comic Mischief, , ,1 Player, ,Spyro the Dragon Series
1419,91,DOA2: Hardcore,PS2,8,"Oct 25, 2000","3D, Action, Fighting",Team Ninja,Tecmo,T,Animated Violence Suggestive Themes, , ,1-4 Players, ,Dead or Alive Series
1420,91,The Longest Journey,PC,8.8,"Nov 16, 2000","Adventure, Fantasy, Point-and-Click, Third-Person",Funcom,Funcom,M,Strong Language, , ,1 Player,http://www.longestjourney.com/,Longest Journey Series
1421,91,Tony Hawk's Pro Skater 2,PC,8.5,"Oct 25, 2000","Alternative, Individual, Skate / Skateboard, Skateboarding
, Sports",Neversoft Entertainment,Activision,T,Mild Animated Violence Mild Language, , ,1-4 Players, ,Tony Hawk Skateboarding Series
1422,91,The Operative: No One Lives Forever,PC,8.8,"Nov 11, 2000","Action, Arcade, First-Person, Modern, Shooter",Monolith Productions,Fox Interactive,M,Blood Violence, , ,1-16 Players, ,No One Lives Forever Series
1423,90,Marvel vs. Capcom 2,DC,8.8,"Jun 29, 2000","2D, Action, Fighting",Capcom,Capcom,T,Blood Suggestive Themes Violence, , , , ,Street Fighter Series
1424,90,NHL 2001,PC,6.9,"Sep 28, 2000","Ice Hockey, Sim, Sports, Team, Traditional",EA Sports,EA Sports,E,Animated Violence, , ,1-8 Players, ,NHL Hockey Series
1425,90,Deus Ex,PC,9.2,"Jun 23, 2000","Action Adventure, General, Sci-Fi",Ion Storm,Eidos Interactive,M,Animated Blood Animated Violence,Online Multiplayer, ,1 Player, ,Deus Ex Series
1426,90,WWF SmackDown! 2: Know Your Role,PS,8.7,"Nov 21, 2000","Action, Fighting, Wrestling",Yuke's,THQ,T,Animated Violence Mature Sexual Themes Mild Language, , ,1-4 Players, ,WWE / WWF Series
1427,90,Grandia II,DC,8.6,"Dec 6, 2000","Console-style RPG, Role-Playing",Game Arts,Ubisoft,T,Mild Animated Violence Mild Language, , , , ,Grandia Series
1428,90,Banjo-Tooie,N64,9,"Nov 19, 2000","3D, Action, Platformer",Rare Ltd.,Nintendo,E,Animated Violence Comic Mischief, , , , ,Banjo Kazooie Series
1429,90,Colin McRae Rally 2.0,PS,8.2,"Dec 5, 2000","Driving, Racing, Rally / Offroad",Codemasters,Codemasters,E, , , ,1-2 Players, ,Colin McRae Series
1430,90,Madden NFL 2001,PS,6.8,"Aug 22, 2000","Football, Sim, Sports, Traditional",EA Sports,EA Sports,E, , , , , ,Madden Football Series
1431,89,Sacrifice,PC,8.8,"Nov 5, 2000","Fantasy, General, Real-Time, Strategy",Shiny Entertainment,Interplay,M,Animated Blood Animated Violence, , ,1-4 Players, ,
1432,89,Samba de Amigo,DC,8.5,"Oct 16, 2000","Miscellaneous, Music, Rhythm",Sonic Team,Sega,E,Comic Mischief, , , , ,Samba de Amigo Series
1433,89,Homeworld: Cataclysm,PC,8.8,"Sep 7, 2000","General, Real-Time, Sci-Fi, Strategy",Barking Dog,Sierra Entertainment,E,Animated Violence, , ,1-4 Players, ,Homeworld Series
1434,89,Descent 3,PC,8.1,"Jun 14, 2000","Action, Arcade, First-Person, Sci-Fi, Shooter",Outrage Games,Interplay,T,Animated Violence, , ,1-16 Players, ,Descent Series
1435,89,WWF No Mercy,N64,8.8,"Nov 17, 2000","Action, Fighting, Wrestling",Aki Corp.,THQ,T,Animated Violence Mild Language Suggestive Themes, , ,1-4 Players, ,WWE / WWF Series
1436,88,NHL 2001,PS,8,"Sep 26, 2000","Ice Hockey, Sim, Sports, Traditional",Page 44 Studios,EA Sports,E,Animated Violence, , , , ,NHL Hockey Series
1437,88,Excitebike 64,N64,8,"Apr 30, 2000","Driving, Motocross, Motorcycle, Racing",Left Field Productions,Nintendo,E, , , , , ,Excitebike Series
1438,88,Superbike 2001,PC,6.6,"Oct 9, 2000","Automobile, Driving, Motorcycle, Racing, Simulation, Street",Milestone S.r.l,EA Sports,E, , , ,1-6 Players, ,
1439,88,Ultimate Fighting Championship,DC,7.8,"Aug 29, 2000","3D, Action, Fighting",Anchor,Crave,T,Animated Blood Animated Violence, , , , ,UFC Fighting Series
1440,88,Age of Empires II: The Conquerors Expansion,PC,9,"Aug 24, 2000","Command, Historic, Real-Time, Strategy",Ensemble Studios,Microsoft Game Studios,T,Blood Violence, , ,1-8 Players,http://www.microsoft.com/games/conquerors/,Age of Empires Series
1441,88,Counter-Strike,PC,9.2,"Nov 8, 2000","Action, First-Person, Modern, Shooter, Tactical",The Counter-Strike Team,Sierra Entertainment,M, ,Online Multiplayer, , ,http://storefront.steampowered.com/v2/index.php?area=game&AppId;=240,Half Life Series
1442,88,Diablo II,PC,8.8,"Jun 29, 2000","Action RPG, Role-Playing",Blizzard North,Blizzard Entertainment,M,Animated Blood & Gore Animated Blood and Gore Animated Violence,Up to 8 Players, , ,http://us.blizzard.com/en-gb/games/d2/,Diablo Series
1443,87,Power Stone 2,DC,8.9,"Aug 23, 2000","3D, Action, Fighting",Capcom,Capcom,T,Animated Violence, , , , ,Power Stone Series
1444,87,MechWarrior 4: Vengeance,PC,8.1,"Nov 23, 2000","Combat, Mech, Sci-Fi, Simulation, Vehicle",FASA Studio,Microsoft Game Studios,T,Animated Violence, , ,1-16 Players, ,MechWarrior Series
1445,87,Thief II: The Metal Age,PC,9,"Feb 29, 2000","Action Adventure, Fantasy, General",Looking Glass Studios,Eidos Interactive,M,Animated Blood Animated Violence,No Online Multiplayer, ,1 Player, ,Thief Series
1446,87,Icewind Dale,PC,8.3,"Jun 29, 2000","General, PC-style RPG, Role-Playing, Western-Style",Black Isle Studios,Interplay,T,Animated Blood Mild Language Use of Alcohol and Tobacco, , , , ,Icewind Dale Series
1447,87,Grand Prix 3,PC,7.6,"Aug 24, 2000","Automobile, Driving, Formula One, Racing, Simulation","Hasbro Interactive, Atari",Hasbro Interactive,E, , , ,1-4 Players, ,Grand Prix Racing Series
1448,87,Zeus: Master of Olympus,PC,8.8,"Oct 22, 2000","General, Government, Management, Strategy",Impressions Games,Sierra Entertainment,E, , , ,1 Player, ,Zeus Series
1449,87,Spider-Man,PS,8.8,"Aug 30, 2000","Action Adventure, Sci-Fi",Neversoft Entertainment,Activision,E,Animated Violence, , ,1 Player, ,Spider Man Series
1450,86,NBA Live 2001,PS,7.7,"Oct 16, 2000","Basketball, Sim, Sports, Traditional",EA Sports,EA Sports,E, , , ,1-8 Players, ,NBA Live Series
1451,86,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,PC,7.9,"Jul 31, 2000","Civilian, Flight, Helicopter, Simulation",Razorworks,Empire Interactive,T,Animated Violence, , ,1-16 Players, ,
1452,86,Ground Control,PC,7.6,"May 31, 2000","General, Real-Time, Sci-Fi, Strategy",Massive Entertainment,Sierra Entertainment,T,Animated Blood Animated Violence, , ,1-8 Players, ,
1453,86,Steel Beasts,PC,7.9,"Sep 24, 2000","Combat, Simulation, Tank, Vehicle",eSim Games,Shrapnel Games,T,Violence, , ,1-8 Players, ,
1454,86,Test Drive V-Rally,DC,8.7,"Jul 2, 2000","Driving, Racing, Rally / Offroad",Eden Studios,Infogrames,E, , , , , ,Test Drive Series
1455,86,Lunar 2: Eternal Blue Complete,PS,8.9,"Dec 15, 2000","Console-style RPG, Role-Playing",Game Arts,Working Designs,T,, , ,, ,Lunar Series
1456,86,Medal of Honor Underground,PS,8.9,"Oct 23, 2000","Action, First-Person, Historic, Shooter",Dreamworks Interactive,Electronic Arts,T,Animated Violence, , ,1-2 Players, ,Medal of Honor Series
1457,86,Dino Crisis 2,PS,9.1,"Sep 29, 2000","Action Adventure, Sci-Fi",Capcom,Capcom,M,Animated Blood and Gore Animated Violence, , ,1 Player, ,Dino Crisis Series
1458,86,Star Trek: Voyager Elite Force,PC,7.9,"Sep 20, 2000","Action, Arcade, First-Person, Sci-Fi, Shooter",Raven Software,Activision,T, , , ,1-32 Players, ,Star Trek Series
1459,86,Links 2001,PC,6.8,"Oct 24, 2000","Golf, Individual, Sim, Sports, Traditional",Microsoft Game Studios,Microsoft Game Studios,E, , , ,1-8 Players, ,Links Golf Series
1460,86,EverQuest: The Ruins of Kunark,PC,8.5,"Mar 31, 2000","Fantasy, Massively Multiplayer, Massively Multiplayer Online
, Role-Playing",Sony Online Entertainment,Sony Online Entertainment,T, , , ,Massively Multiplayer, ,EverQuest Series
1461,86,Escape from Monkey Island,PC,7.7,"Nov 8, 2000","3D, Adventure, Fantasy, Third-Person",LucasArts,LucasArts,T,Comic Mischief Suggestive Themes Use of Alcohol and Tobacco,No Online Multiplayer, ,1 Player, ,Monkey Island Series
1462,86,Allegiance,PC,7.7,"Mar 31, 2000","Combat, Sci-Fi, Simulation, Small Spaceship, Space",Microsoft Game Studios,Microsoft Game Studios,E,Animated Violence, , , ,http://www.freeallegiance.org/,
1463,85,Rollcage Stage II,PS,8.9,"Oct 10, 2000","Driving, Futuristic, Racing",Attention To Detail,Midway,E,Animated Violence, , , , ,
1464,85,Tekken Tag Tournament,PS2,8.5,"Oct 25, 2000","3D, Action, Fighting",Namco,Namco,T,Animated Violence, , ,1-4 Players, ,Tekken Fighting Series
1465,85,Giants: Citizen Kabuto,PC,8.8,"Dec 6, 2000","Action, Arcade, Sci-Fi, Shooter, Third-Person",Planet Moon Studios,Interplay,M,Animated Blood Animated Violence, , ,1-10 Players, ,Giants Series
1466,85,FIFA 2001 Major League Soccer,PS,7.8,"Nov 14, 2000","Sim, Soccer, Sports, Traditional",EA Sports,EA Sports,E, , , , , ,FIFA Soccer Series
1467,85,NHL 2001,PS2,8.2,"Oct 25, 2000","Ice Hockey, Sim, Sports, Traditional",EA Sports,EA Sports,E,Animated Violence, ,Multi-Tap,1-8 Players, ,NHL Hockey Series
1468,85,F355 Challenge,DC,8.2,"Sep 19, 2000","Driving, GT / Street, Racing",Sega,Acclaim,E, , , , , ,F355 Racing Series
1469,85,FIFA 2001 Major League Soccer,PC,7.3,"Oct 30, 2000","Sim, Soccer, Sports, Team, Traditional",EA Sports,EA Sports,E, , , ,1-8 Players, ,FIFA Soccer Series
1470,85,American McGee's Alice,PC,8,"Dec 6, 2000","Action Adventure, Horror, Survival",Rogue Entertainment,Electronic Arts,M,Blood and Gore Violence, , ,1 Player,http://www.americanmcgee.com/category/american-mcgees-alice/,Alice Series
1471,84,Street Fighter III: Double Impact,DC,8.2,"Jun 19, 2000","2D, Action, Fighting",Capcom,Capcom,T, , , ,1-2 Players, ,Street Fighter Series
1472,84,Knockout Kings 2001,PS,8.4,"Oct 30, 2000","Boxing, Sports, Traditional",EA Sports,EA Sports,T,Animated Violence Mild Language, , , , ,Knockout Kings Series
1473,84,Command & Conquer: Red Alert 2,PC,8.9,"Oct 21, 2000","Command, Real-Time, Sci-Fi, Strategy",Westwood Studios,Electronic Arts,T,Animated Violence, , ,1-8 Players,http://eacom.westwood.com/games/ccuniverse/redalert2/,Command & Conquer Series
1474,84,Shogun: Total War,PC,8.7,"Jun 13, 2000","General, Historic, Real-Time, Strategy, Turn-Based",Creative Assembly,Electronic Arts,T,Animated Blood Animated Violence, , ,1-8 Players, ,Total War Series
1475,84,Sega GT,DC,7.5,"Aug 29, 2000","Driving, GT / Street, Racing",TOSE,Sega,E, , , , , ,Sega GT Series
1476,84,San Francisco Rush 2049,DC,8.6,"Sep 6, 2000","Driving, Futuristic, Racing",Midway,Midway,E,Animated Violence, , , , ,San Francisco Rush Series
1477,84,Street Fighter III: 3rd Strike,DC,8.5,"Oct 4, 2000","2D, Action, Fighting",Capcom,Capcom,T,Animated Violence, , , , ,Street Fighter Series
1478,84,Star Wars: Episode I Battle for Naboo,N64,7.9,"Dec 18, 2000","Sci-Fi, Simulation, Small Spaceship",Factor 5,LucasArts,T,Animated Violence, , , , ,Star Wars Series
1479,84,Ecco the Dolphin: Defender of the Future,DC,8.1,"Sep 10, 2000","Action Adventure, Fantasy",Appaloosa Interactive,Sega,E,Animated Blood, , , , ,Ecco the Dolphin Series
1480,83,MDK2,PC,7.9,"May 31, 2000","Action, Arcade, Sci-Fi, Shooter, Third-Person",BioWare,Interplay,T,Animated Blood Animated Violence,No Online Multiplayer, ,1 Player, ,MDK Series
1481,83,Combat Flight Simulator 2: WWII Pacific Theater,PC,7,"Oct 13, 2000","Combat, Flight, Simulation, WWII",Microsoft Game Studios,Microsoft Game Studios,E,Animated Violence, , ,1-16 Players, ,Combat Flight Simulator Series
1482,83,Persona 2: Eternal Punishment,PS,3.1,"Dec 22, 2000","Console-style RPG, Role-Playing",Atlus Co.,Atlus Co.,T,Animated Blood Strong Language Suggestive Themes, , ,1 Player, ,Persona Series
1483,83,FIFA 2001,PS2,7.4,"Nov 24, 2000","Sim, Soccer, Sports, Traditional",EA Canada,Electronic Arts,E, , ,Multi-Tap,1-8 Players, ,FIFA Soccer Series
1484,83,Crimson Skies,PC,8,"Sep 17, 2000","Combat, Flight, Futuristic Jet, Sci-Fi, Simulation",Zipper Interactive,Microsoft Game Studios,T,Animated Violence Use of Alcohol and Tobacco, , ,1-8 Players, ,Crimson Skies Series
1485,83,Looney Tunes: Space Race,DC,8.3,"Nov 27, 2000","Driving, Kart, Racing",Melbourne House,Infogrames,E,Mild Animated Violence, , , , ,Looney Tunes Series
1486,83,Breath of Fire IV,PS,8.9,"Nov 28, 2000","Console-style RPG, Role-Playing",Capcom,Capcom,T,Mild Animated Violence Suggestive Themes, , ,1 Player, ,Breath of Fire Series
1487,83,Metal Gear Solid,PC,8.9,"Sep 24, 2000","Action Adventure, General, Modern",Digital Dialect,Microsoft Game Studios,M,Animated Blood & Gore Animated Blood and Gore Animated Violence Mature Sexual Themes, , ,1 Player, ,Metal Gear Series
1488,82,Ridge Racer 64,N64,8.2,"Feb 14, 2000","Arcade, Driving, Racing",Nintendo,Nintendo,E, , , ,1-4 Players, ,Ridge Racer Series
1489,82,Theme Park Roller Coaster,PS2,7.9,"Dec 4, 2000","Strategy, Tycoon",Bullfrog Productions,Electronic Arts,E,Comic Mischief, , ,1 Player, ,Theme Park Series
1490,82,Dave Mirra Freestyle BMX,PS,7.6,"Sep 26, 2000","Alternative, Biking, Sports","Z-Axis, Ltd.",Acclaim,E,Mild Language, , ,1-2 Players, ,Dave Mirra BMX Series
1491,82,Ogre Battle 64,N64,8.9,"Oct 7, 2000","Fantasy, Strategy, Turn-Based",Quest,Atlus Co.,T,Mild Animated Violence Mild Language, , ,1 Player, ,
1492,82,Warlords Battlecry,PC,7.6,"Jul 9, 2000","General, Strategy",Strategic Studies Group,SSI,T,Animated Violence, , ,1-6 Players, ,Warlords Battlecry Series
1493,82,Virtual Pool 3,PC,7.1,"Nov 14, 2000","Billiards, Individual, Miscellaneous, Parlor, Sports",Celeris,Interplay,E,Simulated Gambling, , ,1-4 Players, ,
1494,82,The Sims: Livin' Large,PC,7,"Aug 27, 2000","Miscellaneous, Simulation, Virtual, Virtual Life",Maxis,EA Games,T,Comic Mischief Mature Sexual Themes Mild Animated Violence, , ,1 Player, ,Sims Series
1495,82,B-17 Flying Fortress: The Mighty 8th,PC,7.5,"Dec 13, 2000","Combat, Flight, Simulation, WWII",Wayward Simulations,Atari,M, , , ,1 Player, ,
1496,82,EverQuest: The Scars of Velious,PC,7.3,"Dec 4, 2000","Fantasy, Massively Multiplayer, Massively Multiplayer Online
, Role-Playing",Sony Online Entertainment,Sony Online Entertainment,T,Animated Blood & Gore Animated Blood and Gore Animated Violence Suggestive Themes, , ,Massively Multiplayer, ,EverQuest Series
1497,82,Seaman,DC,8.4,"Aug 9, 2000","Breeding/Constructing, Strategy",Vivarium,Sega,T,Comic Mischief Mild Language Suggestive Themes, , , , ,
1498,81,TimeSplitters,PS2,8,"Oct 23, 2000","Action, First-Person, Sci-Fi, Shooter",Free Radical Design,Eidos Interactive,T,Animated Violence, ,Multi-Tap,1-4 Players, ,TimeSplitters Series
1499,81,SWAT 3: Elite Edition,PC,8.2,"Oct 6, 2000","Action, First-Person, Modern, Shooter, Tactical",Sierra Entertainment,Sierra Entertainment,M, , , , , ,SWAT Series
1500,96,Half-Life 2,PC,9.1,"Nov 16, 2004","Action, Arcade, First-Person, Sci-Fi, Shooter",Valve Software,VU Games,M,Blood Intense Violence,No Online Multiplayer, ,1 Player,http://half-life2.com/,Half Life Series
1501,95,Grand Theft Auto: San Andreas,PS2,9,"Oct 26, 2004","Action Adventure, Modern",Rockstar North,Rockstar Games,M,Blood and Gore Intense Violence Nudity Strong Language Strong Sexual Content Use of Drugs, , ,1-2 Players,http://www.rockstargames.com/sanandreas/,
1502,95,Halo 2,XBOX,8.2,"Nov 9, 2004","Action, First-Person, Sci-Fi, Shooter",Bungie Software,Microsoft Game Studios,M,Blood and Gore Language Sexual Themes Violence,16 Players Online,Headset,1-16 Players,http://www.xbox.com/en-US/games/h/halo2/default.htm,Halo Series
1503,94,Burnout 3: Takedown,XBOX,7.4,"Sep 7, 2004","Arcade, Driving, Racing",Criterion Games,EA Games,T,Mild Language Mild Violence,8 Players Online,Headset,1-2 Players, ,Burnout Series
1504,93,Burnout 3: Takedown,PS2,9,"Sep 7, 2004","Arcade, Driving, Racing",Criterion Games,EA Games,T,Mild Language Mild Violence, ,Headset,1-16 Players, ,
1505,93,Tom Clancy's Splinter Cell Pandora Tomorrow,XBOX,8.6,"Mar 23, 2004","Action Adventure, Modern",Ubisoft Shanghai,Ubisoft,T,Blood Drug Reference Violence, ,Headset,1-4 Players, ,Tom Clancy Series
1506,93,Unreal Tournament 2004,PC,8.8,"Mar 16, 2004","Action, Arcade, First-Person, Sci-Fi, Shooter",Epic Games,Atari,M,Blood and Gore Intense Violence Mild Language, , ,1-32 Players, ,Unreal Series
1507,93,World of Warcraft,PC,7.3,"Nov 23, 2004","Fantasy, Massively Multiplayer, Massively Multiplayer Online
, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,T,Blood Suggestive Themes Use of Alcohol Violence,Massively Multiplayer, , ,http://worldofwarcraft.com/,Warcraft Series
